1,0,0,0
4.83153,0,0,0

2,0,0,0
4.83153,0,0,1

3,0,0,0
11.9044,0,2,1

4,0,0,0
11.9044,0,2,2

5,0,0,0
22.5022,0,5,2

6,0,0,0
22.5022,0,5,3

7,0,0,0
33.9231,0,8,3

8,0,0,0
33.9231,0,8,4

9,0,0,0
45.4248,0,11,4

10,0,0,0
45.4248,0,11,5

11,0,0,0
56.0276,0,14,5

12,0,0,0
56.0276,0,14,6

13,0,0,0
70.0366,0,17,6

14,0,0,0
70.0366,0,17,7

15,0,0,0
80.8572,0,20,8

16,0,0,0
93.0226,0,23,9

17,0,0,0
106.275,0,26,9

18,0,0,0
106.275,0,26,10

19,0,0,0
116.833,0,29,10

20,0,0,0
116.833,0,29,11

21,0,0,0
127.093,0,32,11

22,0,0,0
127.093,0,32,12

23,0,0,0
138.611,0,35,13

24,0,0,0
149.216,0,38,14

25,0,0,0
161.481,0,41,15

26,0,0,0
179.202,0,44,16

27,0,0,0
190.949,0,47,17

28,0,0,0
203.3,0,50,18

29,0,0,0
216.736,0,53,19

30,0,0,0
230.982,0,56,19

31,0,0,0
230.982,0,56,20

32,0,0,0
242.075,0,59,21

33,0,0,0
254.405,0,62,22

34,0,0,0
264.606,0,65,23

35,0,0,0
275.762,0,68,23

36,0,0,0
275.762,0,68,24

37,0,0,0
286.079,0,71,24

38,0,0,0
286.079,0,71,25

39,0,0,0
297.318,0,74,26

40,0,0,0
308.226,0,77,27

41,0,0,0
319.005,0,80,27

42,0,0,0
319.005,0,80,28

43,0,0,0
328.611,0,83,28

44,0,0,0
328.611,0,83,29

45,0,0,0
341.975,0,86,29

46,0,0,0
341.975,0,86,30

47,0,0,0
353.182,0,89,30

48,0,0,0
353.182,0,89,31

49,0,0,0
356.452,0,92,31

50,0,0,0
356.452,0,92,31

51,0,0,0
356.452,0,92,31

52,0,0,0
356.452,0,92,31

53,0,0,0
356.452,0,92,31

54,0,0,0
356.452,0,92,31

55,0,0,0
356.452,0,92,31

56,0,0,0
356.452,0,92,31

57,0,0,0
356.452,0,92,31

58,0,0,0
356.452,0,92,31

59,0,0,0
356.452,0,92,31

60,0,0,0
356.452,0,92,31

61,0,0,0
356.452,0,92,31

62,0,0,0
356.452,0,92,31

63,0,0,0
356.452,0,92,31

64,0,0,0
356.452,0,92,31

65,0,0,0
356.452,0,92,31

66,0,0,0
356.452,0,92,31

67,0,0,0
356.452,0,92,31

68,0,0,0
356.452,0,92,31

69,0,0,0
356.452,0,92,31

70,0,0,0
356.452,0,92,31

71,0,0,0
356.452,0,92,31

72,0,0,0
356.452,0,92,31

73,0,0,0
356.452,0,92,31

74,0,0,0
356.452,0,92,31

75,0,0,0
356.452,0,92,31

76,0,0,0
356.452,0,92,31

77,0,0,0
356.452,0,92,31

78,0,0,0
356.452,0,92,31

79,0,0,0
356.452,0,92,31

80,0,0,0
356.452,0,92,31

81,0,0,0
356.452,0,92,31

82,0,0,0
356.452,0,92,31

83,0,0,0
356.452,0,92,31

84,0,0,0
356.452,0,92,31

85,0,0,0
356.452,0,92,31

86,0,0,0
356.452,0,92,31

87,0,0,0
356.452,0,92,31

88,0,0,0
356.452,0,92,31

89,0,0,0
356.452,0,92,32

90,0,0,0
359.975,0,95,32

91,0,0,0
363.979,0,95,32

92,0,0,0
363.979,0,95,32

93,0,0,0
363.979,0,95,32

94,0,0,0
363.979,0,95,32

95,0,0,0
363.979,0,95,32

96,0,0,0
363.979,0,95,32

97,0,0,0
363.979,0,95,32

98,0,0,0
363.979,0,95,32

99,0,0,0
363.979,0,95,32

100,0,0,0
363.979,0,95,32

101,0,0,0
363.979,0,95,32

102,0,0,0
363.979,0,95,32

103,0,0,0
363.979,0,95,32

104,0,0,0
363.979,0,95,32

105,0,0,0
363.979,0,95,32

106,0,0,0
363.979,0,95,32

107,0,0,0
363.979,0,95,32

108,0,0,0
363.979,0,95,32

109,0,0,0
363.979,0,95,33

110,0,0,0
363.979,0,98,33

111,0,0,0
363.979,0,98,33

112,0,0,0
363.979,0,98,33

113,0,0,0
363.979,0,98,33

114,0,0,0
363.979,0,98,33

115,0,0,0
363.979,0,98,33

116,0,0,0
363.979,0,98,33

117,0,0,0
363.979,0,98,33

118,0,0,0
367.361,0,98,33

119,0,0,0
367.361,0,98,33

120,0,0,0
367.361,0,98,33

121,0,0,0
367.361,0,98,33

122,0,0,0
367.361,0,98,33

123,0,0,0
367.361,0,98,33

124,0,0,0
367.361,0,98,33

125,0,0,0
367.361,0,98,33

126,0,0,0
367.361,0,98,33

127,0,0,0
371.65,0,98,33

128,0,0,0
375.007,0,98,33

129,0,0,0
375.007,0,98,33

130,0,0,0
375.007,0,98,33

131,0,0,0
375.007,0,98,33

132,0,0,0
375.007,0,98,33

133,0,0,0
375.007,0,98,33

134,0,0,0
375.007,0,98,34

135,0,0,0
375.007,0,101,35

136,0,0,0
